Description,TotalSalesDollars,ProfitMargin
Atelie Pink Moscato,659.5600000000001,24.74983322214811
Atholl Brose Scotch Liqueur,659.88,63.76613929805419
Atlas Peak Cab Svgn,1119.68,80.40154329808516
Attitude 13 Rose Jolivet,4280.94,93.84901446878489
Au Bon Climate Pnt Nr,4310.04,61.38504515039305
Auchentoshan 18 Yr Scotch,3119.76,28.056004308023695
Auchentoshan Classic Scotch,659.78,96.94595168086332
Austerity Cab Svgn,419.7,17.22659042172981
Austerity Chard,531.62,27.31650426996726
Austin Cocktails Vodkarita,4541.97,95.61710006891283
Austin Hope 10 Grenache,2222.96,48.379637960197215
Austin Hope 10 Syrah,873.77,40.32411275278392
Avancia 15 Cuvee De O Rose M,8393.06,40.63762203534825
Avante Tinto Fino Ribera Del,1785.06,66.2190626645603
Aveleda Follies,6624.9,94.89501728327974
Aviary Chard,431.76,71.15063924402446
Avion Espresso,376.87,67.68116326584763
Ayala Rose Majeur,5099.14,79.88484332652173
B & B Dom VAP,1377.46,97.3705225560089
B & G Bistro Girls Night Out,67.92,3.886925795053004
B & G CDP Rose,4963.59,55.55958489722157
B & G Cotes du Rhone Red,311.76,74.51886066204773
B & G Sancerre Svgn Bl,487.82,57.664712393915785
B Side Cab Svgn,1775.26,50.790306771965795
B Side Napa Vly Red,2392.98,71.96800641877492
BR Cohn Olive Hill Cab Svgn,199.96,66.66333266653332
BT Termanthia 10 Toro Red,5543.64,37.865012879624224
BV Beaurouge Red,9563.62,88.77224314642362
BV Coastal Estate Moscato,318.71,78.16196542311192
BV Coastal Estate Red,879.1999999999999,49.554140127388536
BV Coastal Estate Svgn Bl,1120.7,76.3897564022486
BV GDL Private Rsv Cab Svgn,8639.28,60.33558352084897
Bacardi 1873 Solera Rum,4377.08,94.29071435751689
Bacardi 8 Gift Set,1069.57,93.32442009405649
Bacardi Anejo Mexican Rum,4336.9,76.62293343171389
Bacardi Artic Grape Rum,363.74,73.64051245395062
Bacardi Coconut,9885.15,98.74458151874276
Bacardi Dragon Berry,5477.67,96.93738396069861
Bacardi Dragon Berry Trav,1308.69,93.45299497971253
Bacardi Limon Traveler,799.2,98.17567567567566
Bacardi O Orange Rum,4464.799999999999,61.33591447118185
Bacardi Oakheart Spiced Trav,739.26,98.99088277466656
Bacardi Party Drinks Hurricn,319.8,66.67917448405252
Bacardi Party Drinks Rum Run,607.62,52.15759849906192
Bacardi Peach Red Rum,575.52,69.80817347789825
Bacardi Reserva Limitada,5219.42,97.40737476577857
Backhouse Cab Svgn,111.84,14.806866952789703
Backhouse Pnt Grigio,79.9,40.07509386733417
Badenhorst Secateurs Red,7720.6,56.24796000310857
Bak's Krupnik Honey Liqueur,1394.07,67.9958682132174
Bakon Vodka,3823.47,69.86768563634604
Balcones Baby Blue Corn Whis,551.88,61.24157425527289
Balcones TX Whisky Single Ba,779.88,61.54023695953224
Ballatore Rose Moscato,655.18,40.61326658322903
Balvenie 15 Yr Single Malt,1439.8400000000001,73.21369041004556
Balvenie 25 Yr Old Scotch,5999.9,8.396473274554573
Balvenie 30 Yr Single Barrel,5999.9400000000005,21.875218752187536
Balvenie Tun 1509 Batch 3 SB,3999.9,11.764794119852995
Banfi Centine Bianco Toscana,8864.07,68.20275561903279
Banfi Grappa Castello,3890.98,66.88340726500779
Banfi Poggio All'Oro Br Mont,7358.51,77.2073422472756
Banfi Poggio Alle Mura Rsva,3032.71,82.87208470312031
Banfi Summus Tuscany Red,5549.08,91.4645310574005
Banknote Counterfeit,1159.42,69.23289230822309
Banrock Station Merlot Ausl,233.74,7.743646787028331
Banshee 12 Marine Layer Pnt,2443.48,69.83646274984858
Banshee Chard,1170.3899999999999,89.77263988926768
Banshee Mordecai Proprietary,9275.359999999999,62.85535008883751
Banshee Rose 14 Pnt Nr Sonom,407.76,67.33372572101236
Barbarossa Spiced Rum,1142.96,98.53188213060825
Barbera d'Alba Alessandria,9591.349999999999,71.09082663024496
Barboursville Rsv Cab Franc,287.88,66.88203418090872
Barco de Piedra Temp Red,815.52,67.74573278399059
Barefoot Bubbly Berry Fusion,219.78,66.66666666666666
Barefoot Bubbly Tropical Fus,919.08,58.08090699395048
Barefoot Cellars Cab Svgn,4497.57,62.59980389410281
Barefoot Cellars Moscato,3809.63,63.51535450949304
Barefoot Cellars Rich Red,1276.88,52.49814641965296
Barefoot Cellars Riesling,168.74,38.41412824463672
Barefoot Cellars Rosa Red,648.82,85.01895749206251
Barefoot Cellars Sweet Red,2952.6,61.772342764107776
Barefoot Crisp White Spritz,543.32,52.293307811234634
Barefoot Perfectly Pink,2147.38,62.75368123015023
Barefoot Refresh Crisp Red,1020.28,71.03736229270396
Barefoot Summer Red Spritzer,735.08,58.12700658431736
Barefoot Znfdl Cal,1075.4,56.406519160797956
Barkan Clsc Chard,2322.34,65.70872482065504
Baron K Kabinett,1709.1,74.81481481481481
Baron La Rose Bordeaux Blanc,3632.51,89.13974084035556
Baron de Seillac Brut Rose,623.52,65.51193225558121
Barra Petite Sirah,321.85999999999996,66.65941713788604
Barrique Chard,2072.7799999999997,55.01693377975473
Barrique Pnt Nr,339.79999999999995,17.78693349028839
Barsol Primero Quebranta Pso,2614.79,59.37876464266728
Bartenura Asti Spumante,4891.99,66.59641577354
Bartenura Ovidia Est Chianti,3847.25,74.34219247514459
Basilica Amaretto,94.9,92.53951527924131
Batavia Arrack Rum,63.98,64.0356361362926
Be. Bright Pnt Grigio,1820.96,85.3648624901151
Beat 3 White Kosher Whiskey,4496.46,54.653660879892186
Beaucanon Merlot Napa,134.95,72.78992219340496
Beaulieu Cstl Clr Slct Chard,265.62,37.24870115202169
Becker Family Pnt Bl,700.6099999999999,80.06308788056121
Belguardo Serrata Toscana,3756.2400000000002,92.81196089706728
Bella Bellina FrongoLata,639.36,48.94894894894895
Bella Bolla Moscato,374.5,54.20560747663551
Bella Bolla Pink Moscato,868.84,73.87205929745407
Bella Bolla Red Moscato,179.76,66.88918558077435
Bella Bolle Fusione Red,197.78,63.899282030538984
Bella Italia Pnt Grigio Ter,791.16,66.57060518731987
Bella Sera Pnt Nr Venezie,311.52,65.4853620955316
Bellafina Prosecco,2355.58,62.106147955068394
Belle Ambiance Cab Svgn,840.23,39.868845435178464
Belle Ambiance Chard,661.36,56.5743316801742
Ben Marco Cab Svgn,8353.179999999998,68.41059333092308
BenRiach Barrel 94,7559.58,28.9272684461306
Bench Cab Svgn,1143.48,48.260572987721694
Bench Pnt Nr,2726.7599999999998,62.53135589490824
Beniotome Sesame Shochu,8547.15,99.74014730056219
Benton Lane Pnt Gris Willamt,7163.52,57.985089272627214
Benton-Lane Est Pnt Nr Willm,1896.54,46.281122465120696
Benvolio Pnt Grigio Friuli,6157.14,92.54978772611959
Benvolio Prosecco Italia DOC,683.6199999999999,17.98952634504548
Benvolio Toscana Rosso,831.36,49.30715935334873
Benziger Pnt Nr Sonoma,3818.09,62.803391224408024
Benziger Tribute Estate Red,8818.53,15.19981221360023
Beran Znfdl Sonoma Cty,4948.349999999999,60.266755585195064
Berentzen Bushel & Barrel,2507.64,91.94722953387016
Beringer Fndrs Est Malbec,307.72,44.00103990640843
Beringer Red Crush,447.36,37.90236051502146
Berkshire Mtn Ethereal Gin,3424.9,92.70285263803324
Bertani Amarone 1993,3399.8,89.9997058650509
Bertani Secco 09 Edition IGT,5887.09,45.18089582459246
Bertani Secco 11 Orig V Ed,2424.0299999999997,92.23111925182444
